File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
Bot,Nearest Neighbors,0.9660564454614798,0.9536004451864218,0.9673593350383631,0.9600732908455394,0.26552462577819824
Bot,Nearest Neighbors,0.9660564454614798,0.9536004451864218,0.9673593350383631,0.9600732908455394,0.2948331832885742
Bot,Nearest Neighbors,0.9660564454614798,0.9536004451864218,0.9673593350383631,0.9600732908455394,0.27857089042663574
Bot,Nearest Neighbors,0.9660564454614798,0.9536004451864218,0.9673593350383631,0.9600732908455394,0.2644686698913574
Bot,Nearest Neighbors,0.9660564454614798,0.9536004451864218,0.9673593350383631,0.9600732908455394,0.3149855136871338
Bot,Nearest Neighbors,0.9660564454614798,0.9536004451864218,0.9673593350383631,0.9600732908455394,0.27779126167297363
Bot,Nearest Neighbors,0.9660564454614798,0.9536004451864218,0.9673593350383631,0.9600732908455394,0.26879310607910156
Web Attack,Naive Bayes,0.4929480564155487,0.6787210082780222,0.6348724309758549,0.48752650322057184,0.01706671714782715
Web Attack,Naive Bayes,0.4929480564155487,0.6787210082780222,0.6348724309758549,0.48752650322057184,0.016765832901000977
Web Attack,Naive Bayes,0.4929480564155487,0.6787210082780222,0.6348724309758549,0.48752650322057184,0.016511917114257812
Web Attack,Naive Bayes,0.4929480564155487,0.6787210082780222,0.6348724309758549,0.48752650322057184,0.016222238540649414
Web Attack,Naive Bayes,0.4929480564155487,0.6787210082780222,0.6348724309758549,0.48752650322057184,0.016238689422607422
Web Attack,Naive Bayes,0.4929480564155487,0.6787210082780222,0.6348724309758549,0.48752650322057184,0.015734195709228516
Web Attack,Naive Bayes,0.4929480564155487,0.6787210082780222,0.6348724309758549,0.48752650322057184,0.015865802764892578
Web Attack,Naive Bayes,0.4929480564155487,0.6787210082780222,0.6348724309758549,0.48752650322057184,0.01855778694152832
Web Attack,Naive Bayes,0.4929480564155487,0.6787210082780222,0.6348724309758549,0.48752650322057184,0.017366647720336914
Web Attack,Naive Bayes,0.4929480564155487,0.6787210082780222,0.6348724309758549,0.48752650322057184,0.019073009490966797
Web Attack,Random Forest,0.9587203302373581,0.9673375236445791,0.9349376590602878,0.9492271417343463,0.05490589141845703
Web Attack,Random Forest,0.9604403164774682,0.9710240480937546,0.9358412284266131,0.9512173803030606,0.053420066833496094
Web Attack,Random Forest,0.9552803577571379,0.9613381622078884,0.9321520990611433,0.9451561014290674,0.059438467025756836
Web Attack,Random Forest,0.957688338493292,0.9670636048324808,0.932895271498535,0.9478622427367727,0.061202049255371094
Web Attack,Random Forest,0.9518403852769178,0.9577528841633214,0.9274096965290104,0.9408514324248907,0.05674624443054199
Web Attack,Random Forest,0.9621603027175782,0.9717323312708326,0.9390277807480913,0.9534582132564842,0.05499982833862305
Web Attack,Random Forest,0.957688338493292,0.9626342607560716,0.936482816142347,0.9482773809356769,0.05388808250427246
Web Attack,Random Forest,0.9583763329893361,0.9658725034720423,0.9353439979469194,0.9488973427117982,0.055919647216796875
Web Attack,Random Forest,0.9587203302373581,0.9698962041274037,0.9329808165272996,0.9490021472780095,0.060637474060058594
Web Attack,Random Forest,0.9594083247334021,0.9703467548289457,0.9341249812870249,0.949889268058948,0.052912235260009766
Web Attack,SVM,0.5256277949776402,0.4378021499648611,0.43743985115164996,0.4376165537504898,0.2342541217803955
Web Attack,SVM,0.5727554179566563,0.3808132407029015,0.4244958189867192,0.3958666871921182,0.2578287124633789
Web Attack,SVM,0.6735466116271069,0.6902732667231806,0.7248551081075301,0.6649364977901846,0.2670302391052246
Web Attack,SVM,0.804265565875473,0.7780256878548846,0.8205960349879167,0.7868017026651672,0.36788177490234375
Web Attack,SVM,0.8651530787753698,0.8359428975523888,0.8716289912102483,0.8485309599004689,0.369765043258667
Web Attack,SVM,0.6701066391468868,0.35651629572331955,0.47974721444000085,0.40323124435273966,0.38509345054626465
Web Attack,SVM,0.8125214998280014,0.7795683964659287,0.8098654804422678,0.7896801822940347,0.3723733425140381
Web Attack,SVM,0.8118335053319573,0.7843268483177834,0.8260067580572723,0.7940603002098212,0.35425758361816406
